TimeStamp,test.data8i,test.float_data,test.data,test.address
10345.2,60,755.097,134,630
10345.7,60,755.097,134,630
10346.1,61,754.397,136,620
10346.3,61,754.397,136,620
10346.7,61,754.397,136,620
10347,61,754.397,136,620
10347.3,61,754.397,136,620
10347.7,61,754.397,136,620
10347.9,61,754.397,136,620
10348.2,62,753.697,138,610
10348.7,62,753.697,138,610
10349,62,753.697,138,610
10349.4,62,753.697,138,610
10349.9,62,753.697,138,610
10350.2,63,752.997,140,600
10350.7,63,752.997,140,600
10351,63,752.997,140,600
10351.2,63,752.997,140,600
10351.5,63,752.997,140,600
10351.8,63,752.997,140,600
10352.1,64,752.297,142,590
10352.3,64,752.297,142,590
10352.7,64,752.297,142,590
10353,64,752.297,142,590
10353.2,64,752.297,142,590
10353.7,64,752.297,142,590
10353.9,64,752.297,142,590
10354.2,65,751.597,144,580
10354.5,65,751.597,144,580
10354.8,65,751.597,144,580
10355.1,65,751.597,144,580
10355.3,65,751.597,144,580
10355.7,65,751.597,144,580
10355.9,65,751.597,144,580
10356.2,66,750.897,146,570
10356.7,66,750.897,146,570
10357,66,750.897,146,570
10357.2,66,750.897,146,570
10357.9,66,750.897,146,570
10358.3,67,750.197,148,560
10358.7,67,750.197,148,560
10358.9,67,750.197,148,560
10359.2,67,750.197,148,560
10359.7,67,750.197,148,560
10360,67,750.197,148,560
10360.3,68,749.497,150,550
10360.7,68,749.497,150,550
10361,68,749.497,150,550
10361.3,68,749.497,150,550
10361.7,68,749.497,150,550
10362,69,749.497,150,550
10362.2,69,748.797,152,540
10362.5,69,748.797,152,540
10362.8,69,748.797,152,540
10363.1,69,748.797,152,540
10363.4,69,748.797,152,540
10363.8,69,748.797,152,540
10364.2,70,748.097,154,530
10364.5,70,748.097,154,530
10364.8,70,748.097,154,530
10365.1,70,748.097,154,530
10365.3,70,748.097,154,530
10365.7,70,748.097,154,530
10365.9,70,748.097,154,530
10366.2,71,747.397,156,520
10366.4,71,747.397,156,520
10366.8,71,747.397,156,520
10367.1,71,747.397,156,520
10367.4,71,747.397,156,520
10367.7,71,747.397,156,520
10367.9,71,747.397,156,520
10368.2,72,746.697,158,510
10368.7,72,746.697,158,510
10369,72,746.697,158,510
10369.2,72,746.697,158,510
10369.5,72,746.697,158,510
10369.8,72,746.697,158,510
10370.1,73,745.997,160,500
10370.3,73,745.997,160,500
10370.7,73,745.997,160,500
10370.9,73,745.997,160,500
10371.2,73,745.997,160,500
10371.4,73,745.997,160,500
10371.8,73,745.997,160,500
10372.1,74,745.297,162,500
10372.3,74,745.297,162,490
10372.7,74,745.297,162,490
10372.9,74,745.297,162,490
10373.2,74,745.297,162,490
10373.4,74,745.297,162,490
10373.8,74,745.297,162,490
